field_id,region,crop_type,growth_stage,avg_temp_c,avg_humidity_pct,soil_moisture_pct,soil_ph,nitrogen_ppm,phosphorus_ppm,potassium_ppm,ndvi_index,pest_pressure_score,intervention_required
PLOT_120,Zone_B_West,Wheat,Vegetative,33.3,56.96,51.19,7.83,127.29,45.94,150.28,0.493,55.7,0
PLOT_172,Zone_A_North,Tomato,Vegetative,26.69,68.81,50.27,7.03,80.96,41.98,141.03,0.437,32.7,0
PLOT_117,Zone_D_East,Tomato,Vegetative,34.35,54.98,67.13,6.99,188.85,44.52,195.14,0.564,60.2,0
PLOT_231,Zone_A_North,Cotton,Fruiting,29.57,73.94,,6.42,136.5,23.14,165.8,0.474,58.3,0
PLOT_188,Zone_D_East,Wheat,Vegetative,26.47,70.22,46.48,7.0,141.82,52.6,120.53,0.474,52.4,0
PLOT_159,Zone_C_South,Wheat,Flowering,23.47,79.67,,5.9,148.35,43.41,186.88,,53.8,0
PLOT_113,Zone_B_West,Tomato,Maturation,22.4,73.69,49.61,,149.54,62.43,146.06,0.519,53.8,0
PLOT_108,Zone_D_East,Sugarcane,Flowering,29.47,64.33,64.49,6.25,111.44,26.27,172.12,0.514,54.1,0
PLOT_189,Zone_C_South,Cotton,Vegetative,30.4,83.44,33.26,6.53,154.39,9.75,166.02,0.413,77.1,0
PLOT_152,Zone_D_East,Cotton,Maturation,24.13,69.6,52.18,4.71,121.86,49.97,141.85,0.345,39.8,0
PLOT_229,Zone_B_West,Cotton,Vegetative,22.22,37.26,53.5,5.88,161.06,31.25,236.36,0.514,43.6,0
PLOT_183,Zone_C_South,Sugarcane,Maturation,32.14,57.7,,5.56,104.96,50.77,162.12,0.281,64.1,0
PLOT_191,Zone_A_North,Cotton,Fruiting,32.37,63.22,48.59,8.04,112.01,53.74,148.05,0.361,60.4,0
PLOT_210,Zone_D_East,Tomato,Fruiting,24.2,80.69,47.87,5.92,134.46,68.53,211.51,0.484,57.4,0
PLOT_107,Zone_D_East,Sugarcane,Fruiting,27.54,59.79,51.76,6.03,96.7,56.22,162.89,0.347,45.4,1
PLOT_134,Zone_C_South,Soybean,Flowering,31.19,56.72,40.23,6.7,93.41,56.93,163.69,0.381,60.4,0
PLOT_180,Zone_B_West,Cotton,Fruiting,22.77,40.39,33.17,6.95,101.58,6.68,243.2,0.387,48.7,0
PLOT_149,Zone_D_East,Wheat,Fruiting,23.94,80.5,47.49,7.12,149.63,33.84,251.2,0.368,60.3,0
PLOT_203,Zone_C_South,Cotton,Flowering,32.75,82.27,55.32,6.29,151.83,55.84,168.02,0.471,52.0,0
PLOT_231,Zone_B_West,Cotton,Flowering,23.87,51.32,30.51,6.66,128.27,42.97,150.33,0.45,48.1,0
PLOT_101,Zone_D_East,Wheat,Maturation,28.86,47.97,57.97,7.99,94.47,65.78,179.28,0.391,30.5,0
PLOT_233,Zone_C_South,Tomato,Flowering,29.01,77.48,,6.73,106.94,42.57,157.68,0.4,51.6,0
PLOT_153,Zone_B_West,Cotton,Maturation,22.27,80.54,42.96,6.88,123.19,38.39,197.9,0.54,74.8,1
PLOT_205,Zone_D_East,Wheat,Flowering,33.61,56.33,44.14,7.52,98.24,36.08,168.15,0.456,46.8,0
PLOT_103,Zone_D_East,Wheat,Flowering,20.4,62.21,27.84,7.42,149.37,29.57,220.01,0.461,54.5,0
PLOT_153,Zone_B_West,Cotton,Vegetative,29.95,71.68,48.07,5.35,128.38,47.17,137.42,0.439,56.9,0
PLOT_245,Zone_B_West,Tomato,Vegetative,26.11,52.74,41.87,7.1,153.11,47.84,173.57,0.476,47.2,0
PLOT_143,Zone_C_South,Cotton,Flowering,29.04,54.13,48.96,6.81,117.61,13.46,205.07,0.495,52.7,0
PLOT_113,Zone_D_East,Cotton,Flowering,27.28,,42.78,8.15,197.23,37.55,225.97,0.619,48.8,0
PLOT_194,Zone_D_East,Sugarcane,Flowering,22.61,53.05,37.29,5.93,132.4,51.34,154.25,0.292,40.1,0
PLOT_147,Zone_C_South,Cotton,Fruiting,26.94,99.95,28.19,6.06,64.03,45.68,180.27,0.301,71.9,1
PLOT_114,Zone_D_East,Wheat,Fruiting,30.98,79.94,19.06,6.47,130.54,45.34,193.38,0.394,72.9,1
PLOT_139,Zone_D_East,Wheat,Fruiting,27.24,61.35,39.46,7.43,100.46,35.36,175.9,0.511,53.8,0
PLOT_181,Zone_D_East,Cotton,Vegetative,26.02,66.56,7.58,7.72,178.18,34.65,175.61,0.273,66.9,1
PLOT_210,Zone_A_North,Wheat,Flowering,18.19,45.76,23.53,6.55,95.21,38.45,243.17,0.379,28.6,0
PLOT_152,Zone_B_West,Wheat,Vegetative,23.88,69.82,57.81,7.3,167.92,50.09,214.91,0.579,53.7,0
PLOT_123,Zone_A_North,Soybean,Flowering,24.65,73.9,31.66,6.31,81.65,8.03,172.56,0.42,68.0,1
PLOT_223,Zone_A_North,Wheat,Vegetative,32.86,56.99,54.81,6.77,104.25,32.29,147.58,0.506,53.1,0
PLOT_140,Zone_B_West,Soybean,Flowering,26.48,59.61,53.35,7.18,87.84,90.56,201.64,0.403,41.0,0
PLOT_114,Zone_A_North,Soybean,Flowering,31.14,54.07,33.33,8.33,129.34,72.02,190.66,0.351,50.0,0
PLOT_144,Zone_C_South,Sugarcane,Vegetative,24.46,81.62,59.29,7.61,162.07,64.5,167.39,0.594,73.3,0
PLOT_164,Zone_A_North,Cotton,Flowering,17.77,81.01,65.2,7.73,94.59,48.54,127.96,0.574,50.7,0
PLOT_188,Zone_C_South,Wheat,Maturation,33.61,69.7,22.96,6.56,76.39,23.76,88.6,0.376,43.3,0
PLOT_170,Zone_B_West,Soybean,Vegetative,24.49,66.61,58.34,5.42,137.94,39.64,129.89,,41.0,0
PLOT_108,Zone_D_East,Sugarcane,Fruiting,33.35,50.02,35.34,8.63,111.86,39.44,233.73,0.4,43.9,0
PLOT_187,Zone_B_West,Sugarcane,Flowering,27.37,56.39,21.63,5.49,96.55,36.32,142.18,0.29,58.1,1
PLOT_228,Zone_B_West,Wheat,Vegetative,35.68,61.51,,6.46,111.28,32.98,238.34,0.402,40.9,0
PLOT_235,Zone_A_North,Tomato,Vegetative,45.05,56.96,53.25,6.66,142.57,42.76,196.83,0.477,60.2,0
PLOT_162,Zone_B_West,Wheat,Vegetative,30.81,71.77,44.09,7.81,153.18,28.87,192.66,0.422,63.5,0
PLOT_238,Zone_B_West,Cotton,Fruiting,21.4,45.34,72.13,7.72,98.52,31.94,165.69,0.595,40.9,0
PLOT_180,Zone_C_South,Cotton,Vegetative,31.36,49.53,56.18,6.31,139.35,37.24,235.73,0.475,54.9,0
PLOT_235,Zone_D_East,Wheat,Vegetative,30.45,57.44,44.05,6.96,108.11,41.49,201.4,0.518,57.4,0
PLOT_132,Zone_A_North,Cotton,Vegetative,22.08,46.12,47.52,6.22,114.78,50.68,175.29,0.393,35.5,0
PLOT_222,Zone_D_East,Soybean,Flowering,25.07,77.01,,6.16,111.15,29.5,179.23,0.637,45.8,0
PLOT_104,Zone_D_East,Soybean,Fruiting,26.21,78.67,52.11,7.37,99.03,38.45,188.45,0.659,66.0,0
PLOT_140,Zone_D_East,Tomato,Flowering,30.34,44.67,65.97,5.65,165.22,36.7,195.46,0.453,12.8,0
PLOT_127,Zone_A_North,Cotton,Flowering,23.74,68.48,59.39,6.98,68.24,54.52,169.16,0.565,38.7,0
PLOT_234,Zone_B_West,Sugarcane,Flowering,23.1,60.16,27.77,6.28,131.75,45.89,257.38,0.393,42.7,0
PLOT_171,Zone_D_East,Wheat,Vegetative,22.4,,29.16,,157.44,5.24,236.01,0.518,50.3,0
PLOT_111,Zone_A_North,Cotton,Flowering,18.76,71.41,44.57,6.63,71.21,25.01,168.27,0.549,68.7,0
PLOT_132,Zone_B_West,Wheat,Flowering,31.77,40.27,43.39,7.58,127.16,47.86,175.76,0.469,25.1,0
PLOT_147,Zone_D_East,Cotton,Flowering,28.93,77.83,49.5,7.02,125.34,28.68,219.22,0.349,53.7,0
PLOT_161,Zone_C_South,Cotton,Fruiting,32.6,71.26,63.77,5.84,159.81,14.58,156.84,0.575,52.8,0
PLOT_136,Zone_A_North,Cotton,Fruiting,24.78,78.04,57.4,6.92,76.9,38.09,172.74,0.46,55.1,0
PLOT_198,Zone_D_East,Sugarcane,Vegetative,24.62,42.75,22.89,5.42,184.69,31.18,196.35,0.482,42.4,0
PLOT_203,Zone_A_North,Tomato,Vegetative,30.28,64.6,35.27,8.52,119.16,60.78,179.76,0.365,52.7,0
PLOT_134,Zone_C_South,Cotton,Flowering,33.12,71.44,69.62,6.91,163.62,58.5,123.2,0.643,48.0,0
PLOT_200,Zone_A_North,Tomato,Fruiting,33.62,70.23,54.34,7.31,164.22,44.56,128.7,0.554,48.5,0
PLOT_230,Zone_B_West,Soybean,Vegetative,22.7,75.25,21.51,7.95,67.49,40.53,189.96,0.313,41.7,1
PLOT_100,Zone_D_East,Sugarcane,Maturation,33.42,70.47,42.26,6.93,103.79,61.17,175.66,0.268,55.7,1
PLOT_104,Zone_A_North,Sugarcane,Flowering,36.32,41.62,16.53,6.91,155.43,37.8,169.07,0.417,41.7,0
PLOT_241,Zone_A_North,Wheat,Vegetative,30.69,78.83,61.16,6.09,111.72,53.57,127.37,0.586,51.0,0
PLOT_202,Zone_D_East,Soybean,Fruiting,34.52,59.23,53.02,5.12,146.84,46.63,170.06,0.598,32.5,0
PLOT_126,Zone_C_South,Sugarcane,Vegetative,31.22,67.42,,6.22,108.33,47.89,172.43,,63.6,0
PLOT_236,Zone_C_South,Tomato,Flowering,22.67,83.65,43.93,6.92,125.97,59.68,233.71,0.473,51.4,0
PLOT_114,Zone_D_East,Sugarcane,Flowering,33.36,64.89,53.28,6.87,82.94,28.06,168.85,0.403,70.3,0
PLOT_189,Zone_D_East,Soybean,Vegetative,30.52,60.8,63.68,7.01,115.76,61.55,179.7,0.504,57.1,0
PLOT_141,Zone_B_West,Soybean,Fruiting,23.19,51.04,51.55,5.83,91.19,42.03,170.15,0.49,36.0,0
PLOT_223,Zone_A_North,Cotton,Fruiting,25.55,49.02,55.87,6.25,122.51,45.15,147.53,0.4,47.8,0
PLOT_162,Zone_A_North,Cotton,Vegetative,30.64,50.5,50.96,7.54,129.33,41.88,180.45,0.454,40.2,0
PLOT_195,Zone_C_South,Cotton,Flowering,40.97,64.56,65.68,6.96,182.06,31.12,173.23,0.566,64.9,0
PLOT_151,Zone_B_West,Cotton,Vegetative,37.86,,72.23,,120.2,69.38,190.16,0.488,79.8,0
PLOT_195,Zone_A_North,Wheat,Fruiting,18.1,61.3,35.11,7.71,86.41,20.97,236.76,0.372,46.8,0
PLOT_231,Zone_B_West,Tomato,Vegetative,28.5,64.65,42.12,8.08,135.32,42.53,184.66,0.497,33.9,0
PLOT_242,Zone_D_East,Sugarcane,Flowering,36.24,73.31,45.82,6.03,79.34,56.51,175.09,0.391,63.4,0
PLOT_128,Zone_A_North,Tomato,Vegetative,26.4,56.58,34.66,6.77,106.53,42.74,202.43,0.425,36.1,0
PLOT_135,Zone_D_East,Soybean,Vegetative,25.87,81.48,39.6,6.62,126.85,78.93,177.55,0.371,66.3,1
PLOT_112,Zone_C_South,Sugarcane,Fruiting,25.7,59.14,43.9,5.89,81.42,35.29,222.96,0.472,58.0,0
PLOT_170,Zone_C_South,Tomato,Fruiting,32.89,79.71,45.3,6.77,102.3,24.43,175.17,0.42,50.1,0
PLOT_185,Zone_D_East,Sugarcane,Flowering,30.5,72.21,38.74,7.1,102.43,27.75,132.83,0.351,38.3,0
PLOT_127,Zone_C_South,Tomato,Fruiting,31.27,66.03,37.0,6.97,80.82,50.8,208.79,0.499,47.6,0
PLOT_165,Zone_D_East,Cotton,Flowering,-999.0,57.7,45.85,8.4,170.67,71.2,139.93,0.579,31.4,0
PLOT_144,Zone_D_East,Cotton,Vegetative,37.6,76.34,32.9,6.01,105.35,52.43,242.39,0.515,78.3,1
PLOT_161,Zone_D_East,Cotton,Vegetative,26.87,63.66,50.5,5.89,82.58,25.06,154.68,0.509,52.8,0
PLOT_233,Zone_C_South,Sugarcane,Flowering,33.08,58.92,26.46,7.67,174.78,33.5,154.95,0.502,34.0,0
PLOT_127,Zone_C_South,Sugarcane,Fruiting,17.71,84.09,44.7,7.57,164.05,63.64,232.78,0.403,59.1,0
PLOT_127,Zone_C_South,Cotton,Maturation,28.3,39.65,69.96,5.08,118.59,32.83,226.11,0.649,26.9,0
PLOT_207,Zone_D_East,Cotton,Vegetative,26.06,83.16,41.33,6.1,76.74,32.05,207.49,0.399,60.5,0
PLOT_143,Zone_B_West,Tomato,Flowering,29.04,89.35,58.34,5.37,165.77,74.59,221.64,0.562,78.3,1
PLOT_183,Zone_C_South,Sugarcane,Vegetative,20.06,54.31,28.1,7.6,110.68,26.34,152.4,0.363,44.5,0
PLOT_129,Zone_B_West,Cotton,Fruiting,37.0,57.12,38.74,7.55,102.4,53.18,218.31,0.33,48.8,1
PLOT_174,Zone_C_South,Sugarcane,Fruiting,29.37,51.61,54.87,6.76,100.25,38.6,157.97,0.45,56.2,0
PLOT_227,Zone_A_North,Soybean,Vegetative,40.2,75.46,7.24,7.7,134.72,54.67,158.14,0.413,76.1,1
PLOT_191,Zone_A_North,Tomato,Fruiting,32.58,57.32,54.27,7.34,98.34,66.5,178.71,0.483,49.7,0
PLOT_228,Zone_A_North,Cotton,Fruiting,29.88,63.52,43.82,7.1,107.25,56.26,122.5,0.529,41.7,0
PLOT_220,Zone_B_West,Wheat,Vegetative,28.58,72.63,39.85,6.39,76.73,14.38,211.83,0.338,58.9,0
PLOT_126,Zone_C_South,Cotton,Flowering,31.96,45.72,66.77,5.65,80.13,61.18,203.28,0.518,39.7,0
PLOT_220,Zone_D_East,Cotton,Flowering,32.44,46.56,23.07,6.57,147.53,63.62,191.59,0.56,56.7,0
PLOT_215,Zone_B_West,Tomato,Vegetative,31.12,,50.86,6.79,115.26,45.35,173.65,0.638,78.8,1
PLOT_102,Zone_C_South,Cotton,Flowering,40.27,60.38,57.49,7.25,90.29,50.15,169.66,0.432,55.8,0
PLOT_202,Zone_A_North,Tomato,Vegetative,34.52,53.1,34.13,6.96,107.63,34.41,198.47,0.381,56.5,0
PLOT_236,Zone_B_West,Cotton,Flowering,25.21,65.0,14.25,6.76,108.15,39.46,175.63,0.373,44.8,0
PLOT_161,Zone_C_South,Tomato,Fruiting,24.37,63.53,49.48,7.02,80.33,25.43,142.9,0.478,54.8,0
PLOT_150,Zone_D_East,Wheat,Flowering,30.8,54.08,57.47,,106.28,53.52,170.94,0.498,23.8,0
PLOT_158,Zone_B_West,Tomato,Vegetative,29.47,66.91,67.21,6.39,112.05,42.79,197.41,,48.1,0
PLOT_217,Zone_D_East,Tomato,Vegetative,29.95,53.07,20.57,7.46,58.7,47.12,131.0,0.261,41.0,0
PLOT_195,Zone_B_West,Tomato,Flowering,20.06,73.63,40.94,6.45,113.86,50.01,219.75,0.481,58.3,0
PLOT_212,Zone_A_North,Wheat,Vegetative,33.14,62.64,78.09,6.59,106.53,28.84,225.05,0.359,41.2,0
PLOT_161,Zone_A_North,Wheat,Flowering,26.56,87.08,48.85,7.22,112.18,46.7,238.9,0.353,58.3,0
PLOT_151,Zone_A_North,Sugarcane,Vegetative,40.08,49.35,49.49,6.19,134.82,24.84,168.91,0.468,42.5,0
PLOT_111,Zone_D_East,Wheat,Fruiting,29.72,57.91,53.76,6.41,140.07,12.35,170.4,0.552,31.8,0
PLOT_138,Zone_A_North,Wheat,Maturation,27.93,76.2,45.47,5.4,90.87,58.53,126.98,0.502,70.6,0
PLOT_229,Zone_D_East,Wheat,Maturation,31.06,52.39,40.75,7.67,137.37,9.12,125.02,0.371,41.3,0
PLOT_230,Zone_D_East,Sugarcane,Vegetative,25.09,65.4,42.01,7.8,108.45,18.82,161.35,0.389,50.2,0
PLOT_212,Zone_D_East,Sugarcane,Fruiting,37.22,41.27,,7.55,165.31,19.54,173.38,0.582,52.0,0
PLOT_200,Zone_A_North,Wheat,Vegetative,40.85,52.15,56.35,6.94,141.83,40.37,150.89,0.516,21.5,0
PLOT_212,Zone_C_South,Wheat,Fruiting,32.31,53.79,50.55,5.86,119.29,39.36,181.54,0.533,44.1,0
PLOT_180,Zone_D_East,Cotton,Vegetative,31.97,62.95,16.56,6.41,110.49,27.83,133.19,0.324,73.1,1
PLOT_212,Zone_C_South,Sugarcane,Fruiting,25.44,76.89,37.13,6.09,97.62,54.2,205.11,0.377,60.6,0
PLOT_101,Zone_D_East,Wheat,Flowering,28.45,,76.75,6.15,105.66,44.26,198.23,0.592,43.7,0
PLOT_229,Zone_A_North,Cotton,Maturation,31.33,61.11,33.12,6.49,66.41,53.95,149.47,0.405,46.1,0
PLOT_153,Zone_A_North,Tomato,Fruiting,22.53,55.36,46.16,6.45,124.51,51.15,97.67,0.56,39.2,0
PLOT_186,Zone_A_North,Tomato,Flowering,36.71,,43.53,7.65,95.77,63.48,135.46,0.323,50.1,0
PLOT_228,Zone_B_West,Tomato,Maturation,20.52,77.22,23.29,6.83,122.49,16.06,190.47,0.35,59.2,0
PLOT_246,Zone_A_North,Tomato,Vegetative,17.74,67.11,30.82,7.88,90.44,33.66,197.19,0.326,59.2,0
PLOT_225,Zone_C_South,Cotton,Maturation,37.56,61.11,21.13,6.22,130.71,53.68,200.3,0.369,61.9,0
PLOT_229,Zone_D_East,Sugarcane,Fruiting,32.55,84.23,19.59,7.09,135.75,13.82,100.97,0.375,79.0,1
PLOT_152,Zone_C_South,Cotton,Maturation,23.59,31.7,52.21,6.62,130.37,36.62,168.27,0.504,37.8,0
PLOT_167,Zone_B_West,Sugarcane,Vegetative,29.31,77.26,33.49,7.2,127.06,18.01,266.71,0.34,75.6,1
PLOT_222,Zone_C_South,Cotton,Vegetative,29.73,46.13,73.06,7.47,51.56,51.2,178.29,0.539,39.0,0
PLOT_244,Zone_D_East,Sugarcane,Fruiting,29.04,66.59,57.2,7.71,122.35,60.58,157.86,0.546,51.8,0
PLOT_137,Zone_D_East,Sugarcane,Maturation,23.13,76.58,44.35,6.51,98.47,38.19,251.19,0.399,53.3,0
PLOT_123,Zone_A_North,Wheat,Vegetative,30.14,43.57,56.82,6.79,115.87,38.03,210.27,0.355,42.4,0
PLOT_168,Zone_B_West,Soybean,Vegetative,34.55,79.83,11.9,7.54,107.37,65.82,165.6,0.482,70.6,1
PLOT_215,Zone_B_West,Wheat,Vegetative,19.52,63.35,43.38,8.31,95.1,40.7,234.2,0.415,42.8,0
PLOT_197,Zone_C_South,Cotton,Maturation,25.98,55.36,60.97,6.87,102.59,36.93,165.64,0.499,45.5,0
PLOT_238,Zone_A_North,Wheat,Fruiting,22.46,67.66,25.15,6.66,129.35,58.53,124.42,0.466,54.2,0
PLOT_243,Zone_A_North,Cotton,Vegetative,24.53,71.27,55.45,,151.9,57.27,122.86,0.524,52.8,0
PLOT_196,Zone_A_North,Wheat,Vegetative,30.47,93.47,48.84,5.21,117.38,51.51,189.47,,73.6,1
PLOT_223,Zone_D_East,Tomato,Flowering,21.76,62.7,21.43,7.05,180.88,42.4,242.94,0.43,57.9,0
PLOT_169,Zone_B_West,Cotton,Vegetative,37.53,75.15,68.71,6.29,98.73,60.84,207.53,0.506,64.3,0
PLOT_192,Zone_C_South,Cotton,Fruiting,28.86,66.44,62.23,5.9,160.52,45.07,160.24,0.563,45.2,0
PLOT_102,Zone_C_South,Cotton,FLOWERING,26.49,69.26,54.37,7.25,95.34,40.5,237.06,,64.5,0
PLOT_247,Zone_C_South,Sugarcane,Fruiting,18.64,61.97,24.63,6.74,116.53,45.28,235.14,0.317,49.4,1
PLOT_246,Zone_A_North,Soybean,Maturation,29.24,55.89,32.15,7.5,99.42,55.66,202.93,0.323,59.1,0
PLOT_189,Zone_B_West,Sugarcane,Flowering,28.79,69.61,43.22,,110.59,51.44,229.85,0.402,55.9,0
PLOT_246,Zone_B_West,Soybean,Vegetative,21.61,53.05,66.56,5.83,141.6,62.5,212.56,0.502,48.2,0
PLOT_247,Zone_D_East,Tomato,Fruiting,23.34,40.96,41.56,6.93,119.1,46.27,201.9,0.552,35.1,0
PLOT_195,Zone_D_East,Tomato,Vegetative,37.45,66.29,47.76,5.26,112.0,32.93,163.89,0.603,54.5,0
PLOT_151,Zone_D_East,Sugarcane,Maturation,26.47,55.1,34.06,7.42,159.66,41.11,203.71,0.519,56.6,0
PLOT_227,Zone_C_South,Wheat,Vegetative,28.73,61.52,71.3,7.91,88.67,36.91,232.88,0.348,29.9,0
PLOT_138,Zone_C_South,Sugarcane,Fruiting,31.37,44.99,29.65,6.57,83.39,39.9,147.65,0.391,55.8,0
PLOT_181,Zone_B_West,Sugarcane,Vegetative,27.7,76.44,47.54,6.96,71.56,40.52,260.35,0.428,76.8,0
PLOT_203,Zone_D_East,Soybean,Vegetative,35.54,32.68,64.59,,114.85,51.63,144.45,0.63,40.8,0
PLOT_228,Zone_C_South,Soybean,Flowering,24.69,70.12,36.62,6.79,116.97,42.85,217.01,0.393,60.6,0
PLOT_110,Zone_D_East,Soybean,Maturation,26.29,71.32,40.99,5.44,56.38,46.26,140.25,0.333,67.8,1
PLOT_141,Zone_D_East,Soybean,Maturation,26.36,67.39,31.56,7.93,82.21,43.35,200.41,0.367,54.2,0
PLOT_198,Zone_B_West,Wheat,Vegetative,24.37,77.35,24.02,6.39,108.38,46.1,184.2,0.263,64.3,0
PLOT_106,Zone_B_West,Wheat,Vegetative,23.93,50.87,26.2,6.62,149.84,47.26,184.52,,59.5,0
PLOT_243,Zone_C_South,Cotton,Flowering,28.65,88.54,68.79,8.08,177.83,52.21,211.24,0.526,41.1,0
PLOT_189,Zone_B_West,Tomato,Vegetative,35.52,54.22,21.09,8.77,151.29,62.75,154.54,0.446,57.4,1
PLOT_211,Zone_D_East,Soybean,Fruiting,22.37,72.93,33.9,6.22,193.8,62.3,123.0,0.561,79.5,0
PLOT_159,Zone_B_West,Sugarcane,Flowering,27.52,86.87,24.76,7.59,98.87,38.55,159.23,0.357,59.6,0
PLOT_212,Zone_D_East,Soybean,Fruiting,32.47,62.47,,7.03,134.27,19.54,243.12,0.296,49.8,0
PLOT_101,Zone_D_East,Soybean,Fruiting,38.79,56.36,40.68,8.22,137.63,14.98,158.23,0.39,63.0,0
PLOT_228,Zone_C_South,Tomato,Flowering,33.38,74.53,47.38,6.59,93.49,49.69,206.85,0.336,64.5,0
PLOT_147,Zone_C_South,Soybean,Fruiting,27.43,58.12,66.36,7.08,131.98,41.11,208.38,0.573,46.2,0
PLOT_239,Zone_C_South,Sugarcane,Vegetative,25.58,54.64,58.97,6.41,100.56,68.43,207.02,0.604,51.5,0
PLOT_136,Zone_D_East,wheat,Vegetative,34.37,73.3,55.65,8.27,98.03,60.32,234.91,0.514,52.0,0
PLOT_108,Zone_B_West,Wheat,Fruiting,33.09,74.04,56.28,6.39,86.62,19.09,200.27,0.392,58.2,0
PLOT_198,Zone_C_South,Sugarcane,Vegetative,28.58,64.64,19.15,6.39,112.16,47.15,187.08,0.25,63.4,1
PLOT_246,Zone_C_South,Cotton,Vegetative,27.42,65.79,45.91,7.35,136.68,30.87,196.99,0.454,54.5,0
PLOT_147,Zone_B_West,Wheat,Maturation,38.99,67.0,64.67,6.16,85.35,50.39,153.54,0.458,60.4,0
