avg_temp_c,avg_humidity_pct,soil_moisture_pct,soil_ph,nitrogen_ppm,phosphorus_ppm,potassium_ppm,ndvi_index,pest_pressure_score,vpd_kpa,total_npk_ppm,ph_deviation,region_Zone_B_West,region_Zone_C_South,region_Zone_D_East,crop_type_Soybean,crop_type_Sugarcane,crop_type_Tomato,crop_type_Wheat,growth_stage_Fruiting,growth_stage_Maturation,growth_stage_Vegetative
35.0,74.04,60.88,7.27,90.4,65.47,253.07,0.519,57.0,1.46,408.94,0.2699999999999996,False,False,False,True,False,False,False,True,False,False
30.98,53.45,58.69,7.2,111.98,38.27,235.73,0.565,41.9,2.089,385.98,0.20000000000000018,True,False,False,False,False,False,True,False,True,False
30.09,65.8,58.19,7.72,97.24,63.27,160.77,0.4445,73.1,1.459,321.28,0.7199999999999998,False,False,False,True,False,False,False,False,False,True
27.26,73.93,64.88,6.04,151.11,58.2,207.9,0.503,66.8,0.944,417.21000000000004,0.96,False,False,True,False,False,True,False,False,True,False
38.07,89.6,41.37,7.15,156.67,55.13,211.25,0.636,93.3,0.692,423.04999999999995,0.15000000000000036,True,False,False,False,True,False,False,False,False,False
24.15,45.29,35.78,7.13,149.09,63.77,169.12,0.463,26.4,1.647,381.98,0.1299999999999999,False,True,False,False,False,False,True,False,False,False
28.8,71.85,21.64,6.9,73.07,30.35,155.27,0.288,61.8,1.115,258.69,0.09999999999999964,False,False,False,True,False,False,False,True,False,False
26.57,52.58,51.71,7.44,96.3,34.0,220.36,0.537,29.6,1.648,350.66,0.4400000000000004,False,False,True,False,True,False,False,False,False,True
17.66,62.64,31.28,6.53,91.0,11.84,243.64,0.327,47.9,0.755,346.48,0.46999999999999975,False,True,False,True,False,False,False,False,False,False
30.59,50.47,64.77,7.87,92.01,50.0,138.91,0.513,31.2,2.174,280.91999999999996,0.8700000000000001,True,False,False,False,True,False,False,False,False,True
27.66,46.45,40.28,6.725,125.58,60.43,118.83,0.342,24.4,1.984,304.84,0.27500000000000036,False,False,True,False,False,True,False,False,True,False
26.07,70.83,56.5,7.21,91.66,31.72,134.89,0.403,62.7,0.985,258.27,0.20999999999999996,False,False,True,False,False,False,False,False,False,False
32.42,75.18,50.33,7.29,89.08,34.17,185.56,0.496,56.4,1.208,308.81,0.29000000000000004,False,True,False,False,False,False,True,False,False,True
22.88,62.99,40.39,7.65,156.58,57.61,179.81,0.626,52.2,1.032,394.0,0.6500000000000004,True,False,False,False,True,False,False,True,False,False
25.56,65.09,44.13,6.31,93.28,25.14,149.99,0.517,42.7,1.143,268.41,0.6900000000000004,True,False,False,False,False,False,False,False,False,False
25.91,62.22,29.85,7.37,76.93,49.5,173.33,0.283,40.7,1.263,299.76,0.3700000000000001,False,False,False,False,True,False,False,True,False,False
32.92,64.985,40.6,7.09,148.14,59.85,179.93,0.495,37.7,1.753,387.91999999999996,0.08999999999999986,False,False,False,False,False,False,True,False,False,True
26.1,70.31,53.4,7.84,120.94,43.04,194.06,0.441,73.7,1.004,358.03999999999996,0.8399999999999999,False,False,False,True,False,False,False,False,False,False
25.86,59.93,40.07,6.0,140.5,42.83,167.05,0.274,49.3,1.336,350.38,1.0,True,False,False,False,False,False,False,False,True,False
27.91,80.95,47.17,7.21,133.44,19.63,156.88,0.468,70.5,0.716,309.95,0.20999999999999996,False,False,False,False,False,False,False,False,False,False
32.01,40.68,49.13,7.05,107.79,39.45,238.36,0.344,31.6,2.822,385.6,0.04999999999999982,True,False,False,True,False,False,False,False,True,False
37.55,43.46,54.94,6.38,125.54,64.23,177.84,0.563,23.8,3.655,367.61,0.6200000000000001,False,True,False,False,True,False,False,False,False,True
33.82,59.53,62.59,5.83,77.87,69.76,159.98,0.456,49.2,2.131,307.61,1.17,True,False,False,False,False,False,True,True,False,False
26.21,48.04,31.52,7.76,100.21,30.79,201.6,0.287,45.9,1.768,332.6,0.7599999999999998,False,True,False,True,False,False,False,True,False,False
24.78,59.29,54.57,7.51,121.93,42.54,198.26,0.44,42.4,1.273,362.73,0.5099999999999998,True,False,False,False,False,False,False,False,True,False
29.95,59.43,46.48,7.11,113.55,69.88,167.15,0.502,47.5,1.716,350.58000000000004,0.11000000000000032,False,False,False,False,True,False,False,False,False,False
22.86,55.5,44.95,6.6,98.44,71.82,197.96,0.517,48.4,1.24,368.22,0.40000000000000036,False,False,False,False,False,False,True,False,False,False
21.49,88.8,29.41,6.63,101.08,54.49,164.16,0.44,62.8,0.287,319.73,0.3700000000000001,True,False,False,False,False,False,False,False,False,True
24.89,74.88,29.24,6.8,107.09,43.33,242.24,0.302,63.3,0.791,392.66,0.20000000000000018,False,False,False,True,False,False,False,True,False,False
32.34,80.78,44.465,6.71,110.32,25.98,126.56,0.45,64.5,0.932,262.86,0.29000000000000004,False,False,True,False,False,False,True,False,True,False
24.17,73.64,34.2,7.76,101.46,62.32,179.31,0.407,62.2,0.795,343.09000000000003,0.7599999999999998,False,False,True,False,False,True,False,True,False,False
32.57,71.33,28.99,5.9,143.33,49.95,193.59,0.493,59.8,1.408,386.87,1.0999999999999996,False,True,False,False,True,False,False,False,False,False
29.06,73.6,37.51,7.9,167.93,26.91,144.02,0.411,53.8,1.061,338.86,0.9000000000000004,False,True,False,False,False,False,True,False,True,False
30.17,49.58,48.15,6.37,119.48,35.51,181.29,0.41,38.4,2.16,336.28,0.6299999999999999,True,False,False,False,False,False,True,True,False,False
34.94,77.2,60.64,6.58,99.9,51.51,100.4,0.503,54.3,1.278,251.81,0.41999999999999993,True,False,False,False,False,True,False,False,False,False
21.85,84.11,42.94,5.27,160.0,47.57,146.69,0.497,55.5,0.416,354.26,1.7300000000000004,False,True,False,False,False,True,False,False,True,False
32.32,43.98,44.08,7.27,101.19,44.66,179.17,0.459,58.3,2.712,325.02,0.2699999999999996,False,False,True,False,False,False,True,False,False,False
35.04,59.75,73.23,7.18,136.79,11.81,159.39,0.509,53.6,2.268,307.99,0.17999999999999972,False,False,True,False,False,False,True,False,True,False
34.74,83.37,40.45,6.755,136.44,49.03,209.25,0.565,66.4,0.922,394.72,0.2450000000000001,False,False,True,False,True,False,False,False,False,True
21.85,67.26,45.19,4.02,189.72,50.96,268.44,0.642,51.5,0.858,509.12,2.9800000000000004,False,False,True,False,True,False,False,False,False,False
32.47,69.49,36.54,6.4,91.7,70.98,237.88,0.409,60.4,1.49,400.56,0.5999999999999996,True,False,False,False,False,False,True,True,False,False
21.03,56.81,51.91,7.51,135.46,54.09,187.74,0.454,58.0,1.076,377.29,0.5099999999999998,False,False,True,True,False,False,False,False,True,False
24.9,75.85,35.86,4.42,104.38,41.11,239.67,0.408,52.1,0.76,385.15999999999997,2.58,False,False,False,False,False,False,False,True,False,False
28.73,57.98,34.86,7.25,88.84,22.08,199.81,0.52,53.6,1.657,310.73,0.25,False,False,True,False,False,True,False,True,False,False
29.92,53.04,61.22,5.78,148.42,49.67,240.31,0.596,60.0,1.983,438.4,1.2199999999999998,False,False,False,False,False,True,False,False,False,True
34.34,65.16,62.31,7.61,77.77,16.75,142.44,0.375,52.2,1.889,236.95999999999998,0.6100000000000003,False,False,True,False,False,True,False,False,True,False
39.18,74.58,58.31,6.9,169.85,34.54,155.01,0.667,65.0,1.794,359.4,0.09999999999999964,False,True,False,False,False,False,True,True,False,False
23.73,61.97,47.05,6.48,89.76,71.63,133.99,0.5,49.8,1.116,295.38,0.5199999999999996,False,True,False,False,False,True,False,False,False,True
29.82,76.86,25.0,6.06,94.97,37.44,180.94,0.303,68.4,0.972,313.35,0.9400000000000004,False,False,True,False,False,False,True,False,False,True
26.51,59.36,64.78,8.61,83.53,47.36,206.91,0.535,28.6,1.408,337.79999999999995,1.6099999999999994,False,False,False,False,False,False,False,False,True,False
33.18,87.93,63.05,6.79,186.01,56.51,164.05,0.533,66.9,0.613,406.57,0.20999999999999996,False,True,False,False,True,False,False,True,False,False
36.16,64.65,43.72,5.3,59.55,58.68,188.44,0.434,60.7,2.119,306.66999999999996,1.7000000000000002,False,True,False,False,True,False,False,False,False,True
23.88,44.09,37.01,6.83,53.75,38.68,161.44,0.319,38.4,1.656,253.87,0.16999999999999993,True,False,False,False,False,False,False,False,False,False
39.85,58.84,72.3,8.55,115.71,79.19,157.72,0.594,47.2,3.012,352.62,1.5500000000000007,False,True,False,False,False,False,False,True,False,False
34.05,73.19,16.83,7.78,106.48,39.41,138.49,0.373,73.0,1.43,284.38,0.7800000000000002,True,False,False,False,False,False,False,False,False,True
29.27,59.57,45.7,7.17,82.37,65.89,133.73,0.493,37.4,1.645,281.99,0.16999999999999993,True,False,False,False,False,False,False,True,False,False
27.86,54.06,49.64,6.37,113.73,56.88,145.45,0.506,27.9,1.722,316.06,0.6299999999999999,False,True,False,False,False,False,False,False,True,False
27.99,63.54,41.26,8.2,36.72,26.91,88.74,0.384,44.0,1.377,152.37,1.1999999999999993,False,True,False,False,True,False,False,False,False,True
29.5,85.0,54.4,6.98,173.0,50.08,171.98,0.657,73.7,0.618,395.05999999999995,0.019999999999999574,False,False,True,False,False,False,False,False,False,True
29.01,67.48,64.4,8.09,160.94,53.09,181.88,0.598,58.5,1.303,395.90999999999997,1.0899999999999999,False,False,False,True,False,False,False,False,False,True
20.86,70.37,46.27,5.21,123.61,37.34,154.28,0.459,53.1,0.731,315.23,1.79,False,True,False,False,False,False,True,False,False,False
32.6,60.35,44.52,5.68,117.99,23.84,185.62,0.592,69.4,1.95,327.45,1.3200000000000003,False,False,True,False,False,False,True,True,False,False
19.32,68.11,15.09,5.87,105.49,74.21,214.5,0.388,40.0,0.715,394.2,1.13,False,False,True,False,True,False,False,True,False,False
21.91,60.69,47.86,5.59,92.54,75.8,180.33,0.476,45.8,1.034,348.67,1.4100000000000001,False,False,False,True,False,False,False,False,True,False
26.58,74.95,43.55,6.88,158.19,14.34,241.62,0.505,45.4,0.871,414.15,0.1200000000000001,False,True,False,True,False,False,False,True,False,False
21.95,78.5,43.22,6.78,105.95,50.4,229.55,0.389,55.4,0.567,385.9,0.21999999999999975,True,False,False,False,False,False,False,False,False,True
26.8,84.15,17.42,6.43,118.26,53.27,187.7,0.392,76.5,0.558,359.23,0.5700000000000003,False,False,False,False,False,False,True,False,False,True
19.04,62.58,35.74,6.82,113.43,37.14,230.39,0.469,56.1,0.824,380.96,0.17999999999999972,False,False,True,False,False,False,False,True,False,False
29.31,50.8,16.02,7.55,104.14,65.69,163.99,0.373,60.6,2.006,333.82,0.5499999999999998,False,False,False,False,True,False,False,False,False,False
26.42,64.87,11.71,7.22,155.59,29.35,184.41,0.422,45.7,1.21,369.35,0.21999999999999975,False,True,False,False,False,False,True,True,False,False
27.35,55.09,54.43,6.76,59.01,63.59,221.51,0.345,43.2,1.634,344.11,0.2400000000000002,False,True,False,False,False,True,False,False,False,True
28.3,52.07,58.18,5.1,152.96,45.43,157.81,0.457,18.4,1.844,356.20000000000005,1.9000000000000004,True,False,False,False,False,False,False,False,True,False
27.26,78.0,47.3,7.15,75.06,11.25,197.95,0.538,33.9,0.796,284.26,0.15000000000000036,False,True,False,False,False,False,True,False,False,True
23.99,66.54,44.38,6.85,161.32,53.4,170.34,0.422,44.0,0.998,385.06,0.15000000000000036,False,False,True,False,False,False,False,False,False,True
23.02,45.79,44.34,7.19,30.27,34.9,192.81,0.448,24.6,1.525,257.98,0.1900000000000004,True,False,False,True,False,False,False,True,False,False
33.78,70.97,57.49,6.58,65.17,87.1,185.88,0.563,52.0,1.525,338.15,0.41999999999999993,True,False,False,False,False,False,False,False,False,True
32.17,48.93,31.51,7.3,133.67,70.56,204.84,0.241,57.9,2.452,409.07,0.2999999999999998,True,False,False,False,False,True,False,True,False,False
27.18,71.03,48.8,6.49,100.25,47.03,144.29,0.4475,46.0,1.044,291.57,0.5099999999999998,False,False,True,False,False,False,False,False,True,False
21.96,54.16,43.93,6.0,76.03,62.71,291.7,0.427,51.8,1.209,430.44,1.0,False,True,False,False,False,True,False,False,False,True
24.27,60.22,65.59,5.7,121.6,60.47,230.23,0.504,45.1,1.206,412.29999999999995,1.2999999999999998,False,False,False,False,False,False,True,False,False,True
30.75,70.79,26.75,5.74,126.4,52.81,198.67,0.351,59.4,1.294,377.88,1.2599999999999998,True,False,False,False,False,False,False,False,False,False
35.8,56.66,43.3,6.14,109.95,68.31,232.83,0.53,47.2,2.547,411.09000000000003,0.8600000000000003,False,False,False,False,False,False,False,False,True,False
35.38,78.84,43.89,6.63,154.71,43.43,188.53,0.492,66.2,1.215,386.67,0.3700000000000001,False,True,False,False,False,False,True,True,False,False
25.98,77.49,49.57,6.93,128.48,62.38,217.75,0.565,45.8,0.756,408.61,0.07000000000000028,True,False,False,False,True,False,False,False,True,False
31.48,56.94,51.14,6.83,161.55,39.7,171.66,0.635,56.5,1.988,372.90999999999997,0.16999999999999993,False,True,False,False,False,False,False,False,False,False
21.46,76.05,36.08,6.81,94.78,46.24,181.22,0.522,53.6,0.613,322.24,0.1900000000000004,True,False,False,False,False,True,False,True,False,False
27.31,64.65,50.2,6.17,98.55,25.75,159.49,0.537,60.1,1.283,283.79,0.8300000000000001,True,False,False,False,True,False,False,False,False,True
27.37,56.39,21.63,5.49,96.55,36.32,142.18,0.29,58.1,1.589,275.05,1.5099999999999998,True,False,False,False,True,False,False,False,False,False
29.26,74.75,48.33,7.48,119.23,39.87,138.86,0.377,75.1,1.027,297.96000000000004,0.4800000000000004,False,False,True,True,False,False,False,False,True,False
24.38,52.0,39.6,7.56,161.35,69.98,190.54,0.403,46.2,1.465,421.87,0.5599999999999996,True,False,False,False,False,True,False,False,True,False
30.81,71.77,44.09,7.81,153.18,28.87,192.66,0.422,63.5,1.255,374.71000000000004,0.8099999999999996,True,False,False,False,False,False,True,False,False,True
26.65,57.73,40.95,6.72,127.73,53.05,235.26,0.437,48.0,1.476,416.03999999999996,0.28000000000000025,False,False,False,False,False,False,False,False,False,True
31.3,54.79,23.49,6.79,98.05,50.94,214.31,0.446,41.6,2.066,363.3,0.20999999999999996,False,True,False,False,False,False,False,False,False,True
31.05,60.16,41.24,7.12,160.42,41.09,259.94,0.406,53.7,1.795,461.45,0.1200000000000001,False,False,True,False,False,False,True,False,False,True
22.5,56.62,46.75,8.02,103.05,34.9,206.19,0.433,29.9,1.182,344.14,1.0199999999999996,False,False,True,False,False,False,False,True,False,False
48.14,69.36,48.47,6.52,125.44,44.36,121.9,0.37,59.3,3.444,291.70000000000005,0.4800000000000004,False,False,False,False,False,False,True,False,False,True
29.11,47.04,48.33,6.83,148.97,37.02,110.33,0.557,62.3,2.135,296.32,0.16999999999999993,False,False,True,False,False,False,False,False,False,False
36.22,72.47,69.64,6.84,126.67,53.43,143.13,0.579,75.6,1.655,323.23,0.16000000000000014,False,True,False,True,False,False,False,False,False,True
14.81,69.5,24.42,8.18,110.39,33.8,232.34,0.314,65.9,0.514,376.53,1.1799999999999997,False,True,False,False,False,True,False,False,True,False
